"","canal","qualidade","percentual","impressoes"
"313","OFF OTT","0.25 Mbps",0,0
"314","OFF OTT","0.75 Mbps",0,0
"315","OFF OTT","1.25 Mbps",0,0
"316","OFF OTT","1.75 Mbps",0,0
"317","OFF OTT","2.25 Mbps",0,0
"318","OFF OTT","2.75 Mbps",0,0
"319","OFF OTT","3.25 Mbps",0,0
"320","OFF OTT","3.75 Mbps",0,0
"321","OFF OTT","4.25 Mbps",0,0
"322","OFF OTT","4.75 Mbps",100,8
"323","OFF OTT","5.25 Mbps",0,0
"324","OFF OTT","5.75 Mbps",0,0
"325","OFF OTT","6.25 Mbps",0,0
"326","RBS - RS","0.25 Mbps",0,0
"327","RBS - RS","0.75 Mbps",18.75,3
"328","RBS - RS","1.25 Mbps",18.75,3
"329","RBS - RS","1.75 Mbps",0,0
"330","RBS - RS","2.25 Mbps",62.5,10
"331","RBS - RS","2.75 Mbps",0,0
"332","RBS - RS","3.25 Mbps",0,0
"333","RBS - RS","3.75 Mbps",0,0
"334","RBS - RS","4.25 Mbps",0,0
"335","RBS - RS","4.75 Mbps",0,0
"336","RBS - RS","5.25 Mbps",0,0
"337","RBS - RS","5.75 Mbps",0,0
"338","RBS - RS","6.25 Mbps",0,0
"339","Combate OTT","0.25 Mbps",0,0
"340","Combate OTT","0.75 Mbps",0,0
"341","Combate OTT","1.25 Mbps",5.26,1
"342","Combate OTT","1.75 Mbps",0,0
"343","Combate OTT","2.25 Mbps",10.53,2
"344","Combate OTT","2.75 Mbps",0,0
"345","Combate OTT","3.25 Mbps",10.53,2
"346","Combate OTT","3.75 Mbps",0,0
"347","Combate OTT","4.25 Mbps",0,0
"348","Combate OTT","4.75 Mbps",0,0
"349","Combate OTT","5.25 Mbps",73.68,14
"350","Combate OTT","5.75 Mbps",0,0
"351","Combate OTT","6.25 Mbps",0,0
"352","TV Diário","0.25 Mbps",0,0
"353","TV Diário","0.75 Mbps",0,0
"354","TV Diário","1.25 Mbps",0,0
"355","TV Diário","1.75 Mbps",0,0
"356","TV Diário","2.25 Mbps",100,5
"357","TV Diário","2.75 Mbps",0,0
"358","TV Diário","3.25 Mbps",0,0
"359","TV Diário","3.75 Mbps",0,0
"360","TV Diário","4.25 Mbps",0,0
"361","TV Diário","4.75 Mbps",0,0
"362","TV Diário","5.25 Mbps",0,0
"363","TV Diário","5.75 Mbps",0,0
"364","TV Diário","6.25 Mbps",0,0
"365","Studio Universal OTT","0.25 Mbps",0,0
"366","Studio Universal OTT","0.75 Mbps",5.41,2
"367","Studio Universal OTT","1.25 Mbps",5.41,2
"368","Studio Universal OTT","1.75 Mbps",16.22,6
"369","Studio Universal OTT","2.25 Mbps",24.32,9
"370","Studio Universal OTT","2.75 Mbps",0,0
"371","Studio Universal OTT","3.25 Mbps",16.22,6
"372","Studio Universal OTT","3.75 Mbps",16.22,6
"373","Studio Universal OTT","4.25 Mbps",0,0
"374","Studio Universal OTT","4.75 Mbps",0,0
"375","Studio Universal OTT","5.25 Mbps",16.22,6
"376","Studio Universal OTT","5.75 Mbps",0,0
"377","Studio Universal OTT","6.25 Mbps",0,0
"378","TV Anhanguera - TO","0.25 Mbps",0,0
"379","TV Anhanguera - TO","0.75 Mbps",0,0
"380","TV Anhanguera - TO","1.25 Mbps",25,1
"381","TV Anhanguera - TO","1.75 Mbps",0,0
"382","TV Anhanguera - TO","2.25 Mbps",75,3
"383","TV Anhanguera - TO","2.75 Mbps",0,0
"384","TV Anhanguera - TO","3.25 Mbps",0,0
"385","TV Anhanguera - TO","3.75 Mbps",0,0
"386","TV Anhanguera - TO","4.25 Mbps",0,0
"387","TV Anhanguera - TO","4.75 Mbps",0,0
"388","TV Anhanguera - TO","5.25 Mbps",0,0
"389","TV Anhanguera - TO","5.75 Mbps",0,0
"390","TV Anhanguera - TO","6.25 Mbps",0,0
"391","TV Tem - Interior SP","0.25 Mbps",0,0
"392","TV Tem - Interior SP","0.75 Mbps",5,1
"393","TV Tem - Interior SP","1.25 Mbps",10,2
"394","TV Tem - Interior SP","1.75 Mbps",0,0
"395","TV Tem - Interior SP","2.25 Mbps",85,17
"396","TV Tem - Interior SP","2.75 Mbps",0,0
"397","TV Tem - Interior SP","3.25 Mbps",0,0
"398","TV Tem - Interior SP","3.75 Mbps",0,0
"399","TV Tem - Interior SP","4.25 Mbps",0,0
"400","TV Tem - Interior SP","4.75 Mbps",0,0
"401","TV Tem - Interior SP","5.25 Mbps",0,0
"402","TV Tem - Interior SP","5.75 Mbps",0,0
"403","TV Tem - Interior SP","6.25 Mbps",0,0
"404","TV Mirante","0.25 Mbps",0,0
"405","TV Mirante","0.75 Mbps",0,0
"406","TV Mirante","1.25 Mbps",40,4
"407","TV Mirante","1.75 Mbps",0,0
"408","TV Mirante","2.25 Mbps",60,6
"409","TV Mirante","2.75 Mbps",0,0
"410","TV Mirante","3.25 Mbps",0,0
"411","TV Mirante","3.75 Mbps",0,0
