"","canal","qualidade","percentual","impressoes"
"433","RBS - RS","1.75 Mbps",0,0
"434","RBS - RS","2.25 Mbps",50,2
"435","RBS - RS","2.75 Mbps",0,0
"436","RBS - RS","3.25 Mbps",0,0
"437","RBS - RS","3.75 Mbps",0,0
"438","RBS - RS","4.25 Mbps",0,0
"439","RBS - RS","4.75 Mbps",0,0
"440","RBS - RS","5.25 Mbps",0,0
"441","RBS - RS","5.75 Mbps",0,0
"442","RBS - RS","6.25 Mbps",0,0
"443","TV Centro América","0.25 Mbps",0,0
"444","TV Centro América","0.75 Mbps",100,1
"445","TV Centro América","1.25 Mbps",0,0
"446","TV Centro América","1.75 Mbps",0,0
"447","TV Centro América","2.25 Mbps",0,0
"448","TV Centro América","2.75 Mbps",0,0
"449","TV Centro América","3.25 Mbps",0,0
"450","TV Centro América","3.75 Mbps",0,0
"451","TV Centro América","4.25 Mbps",0,0
"452","TV Centro América","4.75 Mbps",0,0
"453","TV Centro América","5.25 Mbps",0,0
"454","TV Centro América","5.75 Mbps",0,0
"455","TV Centro América","6.25 Mbps",0,0
"456","Gloobinho","0.25 Mbps",0,0
"457","Gloobinho","0.75 Mbps",0,0
"458","Gloobinho","1.25 Mbps",33.33,1
"459","Gloobinho","1.75 Mbps",0,0
"460","Gloobinho","2.25 Mbps",66.67,2
"461","Gloobinho","2.75 Mbps",0,0
"462","Gloobinho","3.25 Mbps",0,0
"463","Gloobinho","3.75 Mbps",0,0
"464","Gloobinho","4.25 Mbps",0,0
"465","Gloobinho","4.75 Mbps",0,0
"466","Gloobinho","5.25 Mbps",0,0
"467","Gloobinho","5.75 Mbps",0,0
"468","Gloobinho","6.25 Mbps",0,0
"469","Rede Bahia","0.25 Mbps",0,0
"470","Rede Bahia","0.75 Mbps",33.33,1
"471","Rede Bahia","1.25 Mbps",0,0
"472","Rede Bahia","1.75 Mbps",0,0
"473","Rede Bahia","2.25 Mbps",66.67,2
"474","Rede Bahia","2.75 Mbps",0,0
"475","Rede Bahia","3.25 Mbps",0,0
"476","Rede Bahia","3.75 Mbps",0,0
"477","Rede Bahia","4.25 Mbps",0,0
"478","Rede Bahia","4.75 Mbps",0,0
"479","Rede Bahia","5.25 Mbps",0,0
"480","Rede Bahia","5.75 Mbps",0,0
"481","Rede Bahia","6.25 Mbps",0,0
"482","Rede Amazônica AM","0.25 Mbps",0,0
"483","Rede Amazônica AM","0.75 Mbps",50,1
"484","Rede Amazônica AM","1.25 Mbps",0,0
"485","Rede Amazônica AM","1.75 Mbps",0,0
"486","Rede Amazônica AM","2.25 Mbps",50,1
"487","Rede Amazônica AM","2.75 Mbps",0,0
"488","Rede Amazônica AM","3.25 Mbps",0,0
"489","Rede Amazônica AM","3.75 Mbps",0,0
"490","Rede Amazônica AM","4.25 Mbps",0,0
"491","Rede Amazônica AM","4.75 Mbps",0,0
"492","Rede Amazônica AM","5.25 Mbps",0,0
"493","Rede Amazônica AM","5.75 Mbps",0,0
"494","Rede Amazônica AM","6.25 Mbps",0,0
"495","TV Morena","0.25 Mbps",0,0
"496","TV Morena","0.75 Mbps",50,1
"497","TV Morena","1.25 Mbps",0,0
"498","TV Morena","1.75 Mbps",0,0
"499","TV Morena","2.25 Mbps",50,1
"500","TV Morena","2.75 Mbps",0,0
"501","TV Morena","3.25 Mbps",0,0
"502","TV Morena","3.75 Mbps",0,0
"503","TV Morena","4.25 Mbps",0,0
"504","TV Morena","4.75 Mbps",0,0
"505","TV Morena","5.25 Mbps",0,0
"506","TV Morena","5.75 Mbps",0,0
"507","TV Morena","6.25 Mbps",0,0
"508","TV Integração - Triângulo Mineiro","0.25 Mbps",0,0
"509","TV Integração - Triângulo Mineiro","0.75 Mbps",0,0
"510","TV Integração - Triângulo Mineiro","1.25 Mbps",0,0
"511","TV Integração - Triângulo Mineiro","1.75 Mbps",0,0
"512","TV Integração - Triângulo Mineiro","2.25 Mbps",100,1
"513","TV Integração - Triângulo Mineiro","2.75 Mbps",0,0
"514","TV Integração - Triângulo Mineiro","3.25 Mbps",0,0
"515","TV Integração - Triângulo Mineiro","3.75 Mbps",0,0
"516","TV Integração - Triângulo Mineiro","4.25 Mbps",0,0
"517","TV Integração - Triângulo Mineiro","4.75 Mbps",0,0
"518","TV Integração - Triângulo Mineiro","5.25 Mbps",0,0
"519","TV Integração - Triângulo Mineiro","5.75 Mbps",0,0
"520","TV Integração - Triângulo Mineiro","6.25 Mbps",0,0
